rent_price,deposit_cost,year_built,floor,size,type,location,prefecture
55550,0,2003,2/2F,23.18,1K Apartment,"TaishogunOtsu-shi, Shiga",Shiga
50550,0,1997,2/2F,17.39,1K Apartment,"IchiriyamaOtsu-shi, Shiga",Shiga
64050,0,2005,2/2F,46.37,2DK Apartment,"Azuchicho kamitoyoraOmihachiman-shi,",Shiga
62550,0,2008,2/3F,20.81,1K Apartment,"NishikusatsuKusatsu-shi, Shiga",Shiga
52550,0,2008,2/2F,19.87,1K Apartment,"SerimachiHikone-shi, Shiga",Shiga
68050,0,1999,2/2F,43.06,1SLDK Apartment,"NojiriRitto-shi, Shiga",Shiga
71050,0,2007,1/2F,43.06,1LDK Apartment,"Azuchicho kamitoyoraOmihachiman-shi,",Shiga
71050,0,2016,2/2F,47.20,2DK Apartment,"Azuchicho kamitoyoraOmihachiman-shi,",Shiga
67050,0,2007,2/2F,40.95,2DK Apartment,"Azuchicho jorakujiOmihachiman-shi,",Shiga
51550,0,2007,1/2F,19.87,1K Apartment,"NojichoKusatsu-shi, Shiga",Shiga
60550,0,2011,1/2F,26.08,1K Apartment,"IchimiyakeYasu-shi, Shiga",Shiga
58550,0,2006,2/2F,19.87,1K Apartment,"HonkatataOtsu-shi, Shiga",Shiga
56550,0,2003,1/3F,19.87,1K Apartment,"HigashikusatsuKusatsu-shi, Shiga",Shiga
61550,0,2005,2/2F,23.18,1K Apartment,"TaikojichoHigashiomi-shi, Shiga",Shiga
53550,0,2008,1/2F,23.18,1K Apartment,"HigashinonamichoHikone-shi, Shiga",Shiga
61550,0,2006,2/2F,40.95,2DK Apartment,"Azuchicho shimotoiraOmihachiman-shi,",Shiga
59550,0,2006,2/2F,20.28,1K Apartment,"Yokaichi higashihommachiHigashiomi-shi,",Shiga
51550,0,1998,1/2F,20.28,1K Apartment,"NomuraKusatsu-shi, Shiga",Shiga
55550,0,2005,1/2F,19.87,1K Apartment,"Minakuchicho shimmeiKoka-shi,",Shiga
47550,0,2003,2/2F,23.18,1K Apartment,"YokogiOtsu-shi, Shiga",Shiga
50550,0,2000,2/3F,23.18,1K Apartment,"KusatsuchoKusatsu-shi, Shiga",Shiga
70550,0,2010,2/2F,30.84,1K Apartment,"NojiKusatsu-shi, Shiga",Shiga
60550,0,1997,2/2F,39.74,2DK Apartment,"HonkatataOtsu-shi, Shiga",Shiga
64550,0,2005,2/2F,23.18,1K Apartment,"Takakaicho higashiOmihachiman-shi,",Shiga
49550,0,1999,2/2F,40.95,2DK Apartment,"YurachoOta-shi, Gunma",Gunma
44050,0,2004,2/2F,22.35,1K Apartment,"NarushimachoTatebayashi-shi, Gunma",Gunma
47050,0,2004,2/2F,23.71,1K Apartment,"ShimotajimachoOta-shi, Gunma",Gunma
54550,0,2000,2/2F,46.37,2DK Apartment,"KamisanomachiTakasaki-shi, Gunma",Gunma
56050,0,2007,2/4F,20.81,1K Apartment,"NiijimachoOta-shi, Gunma",Gunma
48550,0,2003,2/2F,23.18,1K Apartment,"NakanoOra-gun Ora-machi,",Gunma
65550,0,2005,2/2F,49.68,2DK Apartment,"KamisanomachiTakasaki-shi, Gunma",Gunma
38550,0,2003,1/2F,23.71,1K Apartment,"Yoshiimachi yoshiiTakasaki-shi,",Gunma
38550,0,2003,2/2F,20.28,1K Apartment,"ShinsakaechoTatebayashi-shi, Gunma",Gunma
48050,0,2000,2/2F,49.68,2DK Apartment,"AmborimachiIsesaki-shi, Gunma",Gunma
56050,0,2010,2/2F,46.94,1LDK Apartment,"TabeichoIsesaki-shi, Gunma",Gunma
52550,0,2018,1/2F,25.17,1K Apartment,"AramakimachiMaebashi-shi, Gunma",Gunma
40000,0,,,23.61,1K Apartment,"NishikubochoIsesaki-shi, Gunma",Gunma
40000,0,,,20.81,1K Apartment,"KawaharamachiMaebashi-shi, Gunma",Gunma
41000,0,2006,,28.02,1K Apartment,"YabuzukachoOta-shi, Gunma",Gunma
32500,0,2005,,23.18,1K Apartment,"MiyamotochoKiryu-shi, Gunma",Gunma
42000,0,2007,,23.61,1K Apartment,"KozukamachiMaebashi-shi, Gunma",Gunma
39000,0,,,23.18,1K Apartment,"KamikoidemachiMaebashi-shi, Gunma",Gunma
40500,0,2009,,23.18,1K Apartment,"Kasakakecho kuguMidori-shi,",Gunma
37000,0,,,23.61,1K Apartment,"IwataOra-gun Itakura-machi,",Gunma
42000,0,,,20.28,1K Apartment,"AramakimachiMaebashi-shi, Gunma",Gunma
41000,0,,,23.18,1K Apartment,"HorishitachoIsesaki-shi, Gunma",Gunma
38500,0,2007,,23.61,1K Apartment,"Omamacho omamaMidori-shi,",Gunma
41000,0,,,23.61,1K Apartment,"AkaboriimaichoIsesaki-shi, Gunma",Gunma
40500,0,2006,,23.61,1K Apartment,"MiyoshichoKiryu-shi, Gunma",Gunma
41500,0,,,23.18,1K Apartment,"SakainochoKiryu-shi, Gunma",Gunma
39500,0,2006,,23.97,1K Apartment,"Kasakakecho azamiMidori-shi,",Gunma
43000,0,2008,,26.08,1K Apartment,"IizukamachiTakasaki-shi, Gunma",Gunma
43000,0,,,20.28,1K Apartment,"RokkumachiMaebashi-shi, Gunma",Gunma
38500,0,2005,,23.18,1K Apartment,"SakainochoKiryu-shi, Gunma",Gunma
37550,0,2005,1/2F,23.18,1K Apartment,"ShimoayashiSendai-shi Aoba-ku,",Miyagi
66550,0,2000,2/2F,49.68,2DK Apartment,"AyashichuoSendai-shi Aoba-ku,",Miyagi
71550,0,2000,2/2F,49.68,2DK Apartment,"KamiyagariSendai-shi Izumi-ku,",Miyagi
62050,0,2003,2/2F,19.87,1K Apartment,"MiyamachiSendai-shi Aoba-ku,",Miyagi
59550,0,2009,2/2F,31.05,1K Apartment,"ShimoayashiSendai-shi Aoba-ku,",Miyagi
68550,0,2007,2/2F,43.06,1LDK Apartment,"AyashihigashiSendai-shi Aoba-ku,",Miyagi
42550,0,2001,2/2F,23.18,1K Apartment,"AyashichuoSendai-shi Aoba-ku,",Miyagi
55550,0,2007,2/2F,23.61,1K Apartment,"HigashisendaiSendai-shi Miyagino-ku,",Miyagi
66550,0,2009,3/3F,20.81,1K Apartment,"MiyamachiSendai-shi Aoba-ku,",Miyagi
46050,0,2006,2/2F,19.87,1K Apartment,"KaigamoriSendai-shi Aoba-ku,",Miyagi
62550,0,2008,2/4F,19.87,1K Apartment,"MiyaginoSendai-shi Miyagino-ku,",Miyagi
39550,0,2004,2/2F,26.08,1K Apartment,"NiidaTagajo-shi, Miyagi",Miyagi
38000,0,2010,,30.00,1K Apartment,"Higashifunabasama(2-chome)Shibata-gun Shibata-machi,",Miyagi
34500,0,2013,,26.57,1K Apartment,"OkumaushibukuroWatari-gun Watari-cho,",Miyagi
40000,0,2013,,37.42,1K Apartment,"KakudaKakuda-shi, Miyagi",Miyagi
45000,0,2013,,26.22,1K Apartment,"AyashichuoSendai-shi Aoba-ku,",Miyagi
43000,0,,,46.94,1LDK Apartment,"IpponsugiKami-gun Kami-machi,",Miyagi
44000,0,,,30.00,1K Apartment,"Hasamacho sanumaTome-shi,",Miyagi
44000,0,2010,,46.94,1LDK Apartment,"KakudaKakuda-shi, Miyagi",Miyagi
